Date : 2021-04-08 18:07:32
Directory : d:\code\source code\vue-next
Total : 432 files,  77307 codes, 28867 comments, 8815 blanks, all 114989 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| packages\vue\examples                                                                                   |         21 |      2,800 |         50 |        263 |      3,113 |
| packages\vue\examples\__tests__                                                                         |          7 |      1,162 |         24 |         88 |      1,274 |
| packages\vue\examples\classic                                                                           |          6 |        721 |         11 |         66 |        798 |
| packages\vue\examples\composition                                                                       |          6 |        729 |         11 |         85 |        825 |
| packages\vue\examples\transition                                                                        |          2 |        188 |          4 |         24 |        216 |
| packages\vue\src                                                                                        |          3 |         99 |         14 |         19 |        132 |
| scripts                                                                                                 |          8 |        594 |         53 |         78 |        725 |
| test-dts                                                                                                |         15 |      1,678 |        374 |        259 |      2,311 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\code\source code\vue-next\.circleci\config.yml                                                       | YAML             |         45 |          0 |          8 |         53 |
| d:\code\source code\vue-next\.eslintrc.js                                                               | JavaScript       |         22 |         44 |          1 |         67 |
| d:\code\source code\vue-next\.github\FUNDING.yml                                                        | YAML             |          3 |          0 |          1 |          4 |
| d:\code\source code\vue-next\.github\ISSUE_TEMPLATE\config.yml                                          | YAML             |         11 |          0 |          1 |         12 |
| d:\code\source code\vue-next\.github\commit-convention.md                                               | Markdown         |         56 |          0 |         36 |         92 |
| d:\code\source code\vue-next\.github\contributing.md                                                    | Markdown         |        166 |          0 |        100 |        266 |
| d:\code\source code\vue-next\.github\workflows\release-tag.yml                                          | YAML             |         21 |          0 |          3 |         24 |
| d:\code\source code\vue-next\.github\workflows\size-check.yml                                           | YAML             |         21 |          0 |          2 |         23 |
| d:\code\source code\vue-next\.prettierrc                                                                | JSON             |          3 |          0 |          1 |          4 |
| d:\code\source code\vue-next\CHANGELOG.md                                                               | Markdown         |      1,115 |          0 |        675 |      1,790 |
| d:\code\source code\vue-next\README.md                                                                  | Markdown         |         71 |          0 |         30 |        101 |
| d:\code\source code\vue-next\api-extractor.json                                                         | JSON             |         40 |          1 |         10 |         51 |
| d:\code\source code\vue-next\example\index.html                                                         | HTML             |         33 |          0 |          2 |         35 |
| d:\code\source code\vue-next\jest.config.js                                                             | JavaScript       |         27 |         19 |          1 |         47 |
| d:\code\source code\vue-next\package-lock.json                                                          | JSON             |         11 |     23,645 |          0 |     23,656 |
| d:\code\source code\vue-next\package.json                                                               | JSON             |         75 |          5 |          1 |         81 |
| d:\code\source code\vue-next\packages\compiler-core\README.md                                           | Markdown         |          1 |          0 |          1 |          2 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\codegen.spec.ts                           | TypeScript       |        736 |          7 |         38 |        781 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\compile.spec.ts                           | TypeScript       |        211 |          4 |         47 |        262 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\parse.spec.ts                             | TypeScript       |      2,579 |         11 |        172 |      2,762 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\scopeId.spec.ts                           | TypeScript       |         76 |          5 |          6 |         87 |
| d:\code\source code\vue-next\packages\compiler-core\__tests__\testUtils.ts                              | TypeScript       |         72 |          5 |          5 |         82 |
